iter	Passed	Remaining
0	65	65855
1	69	34727
2	74	24656
3	77	19282
4	82	16456
5	86	14310
6	91	13002
7	97	12058
8	100	11079
9	103	10253
10	106	9618
11	113	9359
12	118	8998
13	121	8549
14	122	8048
15	126	7805
16	128	7424
17	132	7237
18	137	7087
19	142	6981
20	146	6836
21	150	6683
22	154	6567
23	156	6371
24	161	6280
25	165	6181
26	170	6151
27	177	6146
28	179	5998
29	184	5977
30	188	5901
31	192	5832
32	195	5728
33	199	5657
34	202	5586
35	206	5538
36	212	5541
37	217	5512
38	222	5486
39	227	5453
40	232	5440
41	236	5405
42	240	5355
43	243	5297
44	247	5257
45	252	5242
46	253	5147
47	258	5118
48	262	5097
49	269	5116
50	277	5164
51	283	5161
52	287	5128
53	291	5104
54	296	5092
55	301	5075
56	305	5057
57	312	5073
58	316	5049
59	320	5019
60	321	4946
61	326	4944
62	331	4935
63	336	4916
64	340	4896
65	345	4885
66	349	4861
67	353	4843
68	357	4819
69	360	4795
70	367	4802
71	372	4806
72	376	4782
73	380	4764
74	386	4771
75	392	4769
76	395	4741
77	399	4726
78	403	4708
79	408	4699
80	413	4694
81	417	4679
82	420	4648
83	424	4630
84	428	4610
85	433	4603
86	437	4594
87	442	4584
88	446	4566
89	450	4554
90	453	4532
91	457	4516
92	460	4493
93	463	4469
94	467	4451
95	470	4432
96	475	4424
97	479	4413
98	483	4402
99	487	4389
100	489	4359
101	493	4346
102	498	4343
103	502	4328
104	505	4310
105	509	4296
106	512	4279
107	516	4268
108	520	4251
109	524	4242
110	527	4221
111	530	4204
112	534	4192
113	538	4184
114	540	4156
115	544	4150
116	547	4132
117	551	4121
118	554	4106
119	556	4080
120	560	4074
121	565	4067
122	567	4048
123	573	4050
124	576	4036
125	580	4027
126	583	4012
127	587	3999
128	590	3990
129	594	3980
130	598	3966
131	601	3958
132	604	3937
133	607	3927
134	612	3923
135	616	3914
136	620	3909
137	625	3905
138	630	3902
