iter	Passed	Remaining
0	5	5347
1	11	5610
2	17	5771
3	21	5249
4	26	5218
5	27	4525
6	32	4655
7	36	4570
8	38	4252
9	40	4009
10	44	3991
11	46	3807
12	49	3723
13	53	3743
14	58	3822
15	62	3859
16	65	3780
17	67	3685
18	71	3679
19	75	3688
20	77	3621
21	82	3661
22	83	3545
23	84	3434
24	91	3565
25	95	3569
26	96	3473
27	100	3498
28	104	3504
29	109	3552
30	114	3582
31	118	3591
32	120	3537
33	124	3534
34	127	3522
35	131	3524
36	135	3516
37	138	3493
38	141	3491
39	144	3464
40	148	3473
41	149	3410
42	151	3361
43	155	3370
44	160	3407
45	164	3414
46	167	3397
47	172	3423
48	178	3458
49	182	3462
50	185	3460
51	186	3409
52	190	3404
53	194	3410
54	196	3377
55	201	3392
56	205	3392
57	209	3394
58	212	3396
59	216	3397
60	220	3400
61	224	3391
62	228	3401
63	233	3418
64	235	3383
65	240	3397
66	245	3417
67	249	3418
68	253	3419
69	255	3399
70	260	3406
71	265	3416
72	269	3416
73	272	3407
74	275	3396
75	278	3380
76	281	3374
77	283	3356
78	288	3360
79	292	3365
80	296	3363
81	299	3356
82	303	3355
83	304	3324
84	309	3332
85	313	3335
86	317	3333
87	319	3315
88	323	3309
89	325	3287
90	329	3295
91	334	3299
92	338	3302
93	342	3302
94	346	3300
95	350	3305
96	354	3297
97	357	3294
98	361	3291
99	363	3275
100	367	3270
101	371	3273
102	376	3275
103	381	3288
104	387	3305
105	392	3314
106	396	3306
107	400	3306
108	405	3313
109	407	3298
110	411	3295
111	415	3292
112	418	3286
113	421	3276
114	426	3282
115	429	3273
116	432	3266
117	437	3267
118	439	3255
119	444	3259
120	446	3241
121	448	3226
122	452	3225
123	456	3228
124	460	3220
125	465	3228
126	473	3256
127	489	3332
128	497	3358
129	504	3376
130	511	3395
131	518	3407
132	521	3399
133	527	3410
134	532	3414
135	540	3430
136	545	3438
137	551	3444
138	556	3445
139	559	3438
140	563	3430
141	565	3418
142	569	3415
143	572	3405
144	577	3403
145	583	3414
146	588	3413
147	593	3417
148	598	3419
149	604	3424
150	608	3420
151	611	3412
152	615	3408
153	620	3407
154	624	3404
155	627	3395
156	632	3394
157	636	3390
158	642	3396
159	645	3386
160	649	3382
161	653	3381
162	658	3379
163	662	3375
164	667	3377
165	670	3366
166	674	3366
167	678	3362
168	683	3359
169	686	3353
170	690	3346
171	693	3338
172	696	3330
173	699	3322
174	704	3321
175	708	3318
176	713	3318
177	718	3319
178	722	3314
179	726	3310
180	731	3311
181	733	3298
182	740	3304
183	748	3317
184	753	3318
185	761	3332
186	768	3339
187	776	3353
188	784	3366
189	791	3373
190	796	3372
191	802	3378
192	807	3375
193	811	3370
194	814	3364
195	820	3364
196	824	3362
197	830	3362
198	834	3359
199	838	3354
200	841	3346
201	846	3345
202	850	3338
203	854	3334
204	858	3329
205	861	3320
206	866	3319
207	871	3317
208	877	3319
209	881	3317
210	884	3307
