iter	RMSE
0	44.20308586
1	43.34136794
2	42.54746554
3	41.81371157
4	41.16649426
5	40.58038021
6	39.98806598
7	39.44570462
8	38.98297691
9	38.55477771
10	38.15938924
11	37.8158338
12	37.48667159
13	37.15485331
14	36.86465073
15	36.59338455
16	36.35228181
17	36.13264029
18	35.92599885
19	35.74046998
20	35.55991274
21	35.3990089
22	35.27801298
23	35.16844698
24	35.04257758
25	34.92131185
26	34.83964043
27	34.73598537
28	34.63479961
29	34.55145866
30	34.4760352
31	34.39508212
32	34.34328169
33	34.27588575
34	34.21480262
35	34.15611737
36	34.10367178
37	34.06009268
38	34.01819442
39	33.99005938
40	33.95854977
41	33.93998416
42	33.91594273
43	33.87427168
44	33.83400524
45	33.78403096
46	33.75378862
47	33.71526844
48	33.69072745
49	33.66539255
50	33.64877382
51	33.64182808
52	33.62360063
53	33.60800772
54	33.60056126
55	33.56205098
56	33.53454285
57	33.51736755
58	33.49766253
59	33.46416243
60	33.44098431
61	33.42515668
62	33.40343494
63	33.39087473
64	33.38717399
65	33.36510457
66	33.34728846
67	33.33366664
68	33.31117379
69	33.29551131
70	33.27247986
71	33.26140941
72	33.25380653
73	33.23640808
74	33.22398594
75	33.22043726
76	33.20477886
77	33.20379639
78	33.18121208
79	33.15666242
80	33.13097753
81	33.11618654
82	33.10219803
83	33.10187743
84	33.09285386
85	33.06839137
86	33.05444991
87	33.05058441
88	33.03296275
89	33.03242831
90	33.00510335
91	32.9952615
92	32.98327689
93	32.96428183
94	32.95827679
95	32.9517073
96	32.94014851
97	32.93685638
98	32.93075739
99	32.93027421
100	32.91485621
101	32.89888427
102	32.89295361
103	32.88234291
104	32.87188924
105	32.85395072
106	32.85234736
107	32.84896139
108	32.83108457
109	32.83062148
110	32.82241619
111	32.81729197
112	32.80043412
113	32.790824
114	32.77412057
115	32.7625474
116	32.75756244
117	32.74872838
118	32.74838729
119	32.73809721
120	32.73777798
121	32.73746733
122	32.73556993
123	32.72738572
124	32.7157615
125	32.71192495
126	32.70966932
127	32.69983572
128	32.68451169
129	32.68065544
130	32.67799245
131	32.6686388
132	32.66686776
133	32.65985383
134	32.65422056
135	32.64741877
136	32.63348652
137	32.62945198
138	32.61143261
139	32.60486402
140	32.5858124
141	32.57910842
142	32.57614841
143	32.56123305
144	32.54874761
145	32.54677138
146	32.54058266
147	32.53001589
148	32.5124978
149	32.50723933
150	32.50055065
151	32.47957097
152	32.47010299
153	32.46767773
154	32.46288859
155	32.44530124
156	32.43639003
157	32.4313729
158	32.42476089
159	32.42404721
160	32.42033139
161	32.40333279
162	32.40092854
163	32.39347511
164	32.39125857
165	32.39125635
166	32.37442061
167	32.3687873
168	32.35654341
169	32.35600714
170	32.34157739
171	32.34111578
172	32.34025096
173	32.34002184
174	32.33655413
175	32.33142212
176	32.32845776
177	32.31431153
178	32.30633133
179	32.30610578
180	32.29884118
181	32.298623
182	32.29326073
183	32.28398801
184	32.27847778
185	32.26834357
186	32.26360333
187	32.25681104
188	32.25505047
189	32.25142523
190	32.23545809
191	32.2302447
192	32.2265611
193	32.22057984
194	32.21422853
195	32.20190127
196	32.19595841
197	32.1944184
198	32.19115319
199	32.18561313
200	32.17957657
201	32.17074542
202	32.158372
203	32.15013826
204	32.1496036
205	32.14810755
206	32.14698454
207	32.13824167
208	32.13760275
209	32.12965201
210	32.12717926
