iter	Passed	Remaining
0	4	4832
1	8	4454
2	12	4245
3	15	3896
4	18	3665
5	23	3834
6	29	4178
7	34	4278
8	36	4025
9	41	4145
10	47	4296
11	69	5703
12	114	8713
13	121	8562
14	122	8053
15	124	7681
16	130	7562
17	134	7354
18	138	7156
19	143	7015
20	148	6900
21	149	6656
22	154	6548
23	158	6449
24	163	6357
25	167	6258
26	169	6125
27	172	6004
28	176	5904
29	178	5758
30	181	5688
31	183	5543
32	184	5399
33	187	5335
34	190	5264
35	194	5200
36	196	5118
37	201	5089
38	205	5064
39	209	5039
40	213	4997
41	217	4972
42	221	4928
43	227	4940
44	230	4888
45	233	4842
46	236	4791
47	242	4803
48	245	4773
49	250	4755
50	253	4724
51	257	4690
52	261	4673
53	263	4624
54	269	4624
55	273	4607
56	277	4586
57	280	4561
58	284	4535
59	288	4521
60	293	4510
61	297	4498
62	301	4478
63	305	4468
64	310	4459
65	314	4457
66	319	4451
67	324	4453
68	329	4446
69	332	4418
70	336	4398
71	339	4378
72	343	4363
73	348	4355
74	352	4351
75	357	4340
76	359	4312
77	364	4303
78	369	4304
79	373	4292
80	381	4326
81	385	4321
82	393	4349
83	401	4382
84	408	4401
85	415	4414
86	421	4418
87	426	4424
88	432	4431
89	437	4418
90	441	4410
91	445	4397
92	449	4384
93	453	4366
94	457	4356
95	460	4340
96	464	4327
97	468	4316
98	473	4311
99	477	4301
100	482	4294
101	486	4280
102	491	4279
103	496	4277
104	498	4251
105	502	4235
106	507	4231
107	509	4212
108	515	4211
109	520	4212
110	525	4211
111	530	4203
112	533	4189
113	538	4181
114	542	4176
115	546	4162
116	550	4151
117	553	4139
118	558	4134
119	563	4133
120	566	4117
121	571	4110
122	575	4103
123	579	4094
124	584	4089
125	589	4089
126	593	4081
127	598	4075
128	602	4067
129	607	4063
130	610	4048
131	613	4035
132	617	4025
133	622	4022
134	626	4016
135	631	4009
136	635	4000
137	639	3997
138	644	3993
139	648	3986
140	651	3969
141	652	3944
142	657	3938
143	662	3939
144	666	3931
145	670	3922
146	674	3915
147	677	3901
148	682	3897
149	687	3896
150	691	3888
151	695	3880
152	699	3870
153	704	3870
154	706	3851
155	711	3848
156	715	3842
157	720	3838
158	724	3833
159	727	3821
160	733	3824
161	736	3809
162	741	3809
163	746	3803
164	750	3798
165	756	3798
166	759	3786
167	762	3775
168	765	3765
169	769	3757
170	773	3748
171	777	3744
172	781	3737
173	785	3729
174	787	3711
175	791	3706
176	795	3698
177	799	3692
178	803	3687
179	807	3677
180	810	3666
181	813	3656
182	817	3650
183	821	3641
184	825	3637
185	827	3623
186	831	3614
187	835	3608
188	840	3606
189	842	3592
190	846	3586
191	850	3578
192	853	3569
193	857	3561
194	861	3554
195	865	3549
196	869	3543
197	873	3536
198	877	3530
199	881	3526
200	885	3518
201	888	3510
202	891	3501
203	896	3497
204	900	3490
205	904	3484
206	907	3477
207	911	3469
208	915	3464
209	918	3456
210	923	3453
211	927	3449
212	933	3447
213	936	3440
214	941	3436
215	945	3432
216	950	3429
217	955	3426
218	959	3423
219	963	3417
220	968	3414
221	973	3411
222	977	3407
223	982	3403
224	986	3399
225	991	3394
226	994	3387
227	998	3381
228	1003	3377
229	1006	3370
230	1010	3363
231	1013	3356
232	1018	3353
233	1023	3349
234	1026	3342
235	1030	3335
236	1034	3331
237	1038	3324
238	1043	3321
239	1046	3314
240	1051	3310
241	1055	3306
242	1058	3297
243	1061	3290
244	1065	3282
245	1069	3278
246	1073	3271
247	1076	3265
248	1079	3256
249	1085	3257
250	1090	3253
251	1095	3250
252	1099	3246
253	1104	3244
254	1109	3242
255	1113	3237
256	1119	3236
257	1124	3234
258	1129	3231
259	1132	3223
260	1136	3217
261	1141	3214
262	1146	3212
263	1150	3207
264	1154	3202
265	1158	3197
266	1162	3192
267	1167	3188
268	1170	3181
269	1174	3176
270	1178	3170
271	1182	3164
272	1186	3160
273	1190	3153
274	1194	3148
275	1198	3143
276	1202	3138
277	1207	3135
278	1210	3128
279	1215	3125
280	1219	3119
281	1223	3116
282	1226	3108
283	1230	3103
284	1236	3103
285	1242	3101
286	1246	3096
287	1251	3094
288	1256	3090
289	1260	3085
290	1264	3081
291	1269	3077
292	1273	3073
293	1278	3070
294	1282	3065
295	1286	3059
296	1291	3057
297	1295	3051
298	1314	3081
299	1321	3082
300	1327	3082
301	1334	3083
302	1341	3086
303	1349	3088
304	1354	3086
305	1358	3081
306	1361	3074
307	1365	3067
308	1369	3062
309	1374	3060
310	1378	3054
311	1383	3049
312	1387	3044
313	1391	3039
314	1393	3031
315	1398	3027
316	1402	3022
317	1407	3017
318	1412	3015
319	1416	3009
