iter	RMSE
0	44.26696537
1	43.44046056
2	42.67814587
3	41.98868132
4	41.32103797
5	40.70075067
6	40.15676177
7	39.62474085
8	39.17545441
9	38.75414035
10	38.371721
11	38.00860643
12	37.66835164
13	37.38484147
14	37.12687233
15	36.86275749
16	36.6177362
17	36.37329095
18	36.16704368
19	35.95361146
20	35.77641725
21	35.62913743
22	35.46850389
23	35.32601934
24	35.18538609
25	35.06877599
26	34.9677383
27	34.87933807
28	34.78762457
29	34.72685318
30	34.64520318
31	34.59540132
32	34.55038948
33	34.49394249
34	34.43349686
35	34.37151821
36	34.33257662
37	34.26944394
38	34.22468523
39	34.1787101
40	34.13734967
41	34.08918387
42	34.05899441
43	34.02714682
44	33.99178003
45	33.97395089
46	33.93839586
47	33.90840365
48	33.87745212
49	33.85360308
50	33.82364609
51	33.80223289
52	33.77266517
53	33.76262525
54	33.7411661
55	33.70952414
56	33.69705154
57	33.68148905
58	33.65559229
59	33.63002586
60	33.61070925
61	33.5908233
62	33.57355748
63	33.54549592
64	33.52394815
65	33.51407013
66	33.49787129
67	33.47738378
68	33.44951222
69	33.42630304
70	33.41046699
71	33.3914788
72	33.37574355
73	33.36095737
74	33.35226805
75	33.3341416
76	33.32826243
77	33.31764501
78	33.29257038
79	33.27495643
80	33.25461429
81	33.24764338
82	33.23046242
83	33.2256847
84	33.19030016
85	33.18700434
86	33.179911
87	33.17072594
88	33.14230194
89	33.13748039
90	33.12718022
91	33.10659604
92	33.09636918
93	33.08923585
94	33.08166036
95	33.0757097
96	33.07014487
97	33.04206178
98	33.03093868
99	33.01181107
100	33.00342024
101	32.98214841
102	32.96686741
103	32.95593065
104	32.95500234
105	32.94425646
106	32.92396633
107	32.90948973
108	32.90683962
109	32.89836157
110	32.89168025
111	32.88230492
112	32.87809098
113	32.87247417
114	32.85748709
115	32.83800535
116	32.82418273
117	32.81740914
118	32.80956397
119	32.80848708
120	32.79942909
121	32.7872546
122	32.77907439
123	32.76350002
124	32.75052902
125	32.74273982
126	32.72509863
127	32.71846698
128	32.71210804
129	32.71108532
130	32.70716294
131	32.6956666
132	32.69206365
133	32.68550802
134	32.673307
135	32.66392062
136	32.65494709
137	32.6528079
138	32.6470071
139	32.63235525
140	32.62654474
141	32.62653918
142	32.62351772
143	32.61919061
144	32.60467875
145	32.60051632
146	32.59359998
147	32.58905505
148	32.58380719
149	32.57866112
150	32.57195277
151	32.55905807
152	32.55678401
153	32.53805421
154	32.53786883
155	32.53413282
156	32.52676562
157	32.52149941
158	32.51112139
159	32.51102246
160	32.50193338
161	32.50183805
162	32.49316846
163	32.48541265
164	32.47452786
165	32.47093117
166	32.4658303
167	32.46135383
168	32.45542291
169	32.45197056
170	32.43731166
171	32.43135481
172	32.42653525
173	32.42412897
174	32.4240459
175	32.4045526
176	32.39168536
177	32.38373682
178	32.36312222
179	32.36200872
180	32.34035092
181	32.33342982
182	32.315704
183	32.3105451
184	32.30560683
185	32.30505498
186	32.29159969
187	32.28784763
188	32.27386711
189	32.27319292
190	32.25420234
191	32.25388619
192	32.24914211
193	32.24025588
194	32.23767101
195	32.23474761
196	32.23435331
197	32.22748345
198	32.22349525
199	32.21989001
200	32.21771737
201	32.21399218
202	32.21387995
203	32.19457004
204	32.19093357
205	32.18832654
206	32.17719983
207	32.1748282
208	32.16927774
209	32.16884843
210	32.15472652
211	32.15409422
212	32.1523
213	32.14789261
214	32.14747591
215	32.14481986
216	32.14318428
217	32.1386135
218	32.13618201
219	32.12933092
220	32.1285665
221	32.12467458
222	32.12253346
223	32.11840856
224	32.11282291
225	32.10693184
226	32.09901973
227	32.09250229
228	32.08917438
229	32.08490246
230	32.07809743
231	32.07656599
232	32.07625577
233	32.06682095
234	32.05837953
235	32.05080804
236	32.04242454
237	32.03814481
238	32.03072998
239	32.02125293
240	32.01813522
241	32.01361545
242	32.01092178
243	32.0069357
244	32.00570735
245	32.00278307
246	32.00198634
247	32.00089525
248	31.99283097
249	31.97708324
250	31.97436275
251	31.97264131
252	31.95694885
253	31.94065461
254	31.9398659
255	31.9338266
256	31.93340126
257	31.93149011
258	31.92578585
259	31.92454384
260	31.92032274
261	31.912395
262	31.90051729
263	31.89781113
264	31.89554363
265	31.88836217
266	31.88290093
267	31.87331935
268	31.87085307
269	31.86245065
270	31.84873537
271	31.83975206
272	31.82708917
273	31.82589954
274	31.81545361
275	31.80972387
276	31.78821109
277	31.78068594
278	31.77488499
279	31.77121022
280	31.76125566
281	31.75403308
282	31.74658469
283	31.73017563
284	31.7226765
285	31.71354194
286	31.71311578
287	31.70755702
288	31.70402538
289	31.69225843
290	31.68738405
291	31.68053389
292	31.67196711
293	31.66485297
294	31.66299851
295	31.65320748
296	31.64254595
297	31.64017873
298	31.63894803
299	31.63368747
300	31.63316848
301	31.62609504
302	31.61651633
303	31.6122881
304	31.6029906
305	31.59997285
306	31.59815738
307	31.59726406
308	31.58853793
309	31.58315633
310	31.57803418
311	31.56636902
312	31.55773196
313	31.54288219
314	31.53684941
315	31.53585901
316	31.53013868
317	31.52251233
318	31.52233134
319	31.52121229
