iter	Passed	Remaining
0	4	4078
1	6	3474
2	9	3318
3	10	2646
4	14	2953
5	18	3117
6	23	3279
7	26	3243
8	27	3053
9	30	2977
10	32	2893
11	35	2937
12	40	3061
13	42	2990
14	43	2853
15	46	2882
16	48	2777
17	49	2673
18	52	2720
19	54	2684
20	59	2769
21	62	2781
22	66	2822
23	69	2814
24	71	2789
25	72	2722
26	76	2770
27	80	2797
28	83	2797
29	87	2844
30	92	2896
31	96	2904
32	98	2893
33	102	2922
34	107	2977
35	112	3007
36	116	3029
37	119	3024
38	123	3053
39	125	3014
40	127	2983
41	131	2991
42	134	2995
43	138	3005
44	140	2983
45	144	3006
46	150	3053
47	216	4288
48	229	4451
49	237	4503
50	242	4519
51	247	4513
52	252	4516
53	257	4504
54	262	4502
55	267	4514
56	271	4492
57	276	4487
58	279	4463
59	284	4458
60	288	4433
61	292	4429
62	296	4414
63	299	4384
64	304	4373
65	308	4367
66	312	4346
67	316	4341
68	322	4349
69	326	4335
70	330	4324
71	335	4324
72	339	4310
73	343	4294
74	348	4299
75	351	4279
76	357	4280
77	361	4278
78	365	4266
79	369	4245
80	372	4226
81	375	4208
82	380	4202
83	381	4164
84	387	4167
85	390	4149
86	393	4130
87	397	4120
88	401	4108
89	405	4095
90	406	4062
91	409	4046
92	412	4018
93	415	4004
94	418	3983
95	422	3978
96	426	3966
97	429	3950
98	432	3939
99	436	3932
100	441	3928
101	446	3927
102	449	3918
103	453	3904
104	456	3891
105	461	3889
106	464	3878
107	466	3849
108	470	3845
109	474	3838
110	478	3833
111	481	3820
112	485	3811
113	489	3802
114	494	3803
115	499	3802
116	503	3796
117	505	3774
118	506	3752
119	510	3741
120	513	3731
121	517	3722
122	522	3724
123	527	3723
124	532	3724
125	535	3716
126	540	3714
127	544	3707
128	549	3706
129	551	3693
130	555	3683
131	558	3672
132	561	3660
133	565	3652
134	569	3649
135	573	3641
136	577	3636
137	582	3636
138	586	3630
139	590	3629
140	595	3629
141	598	3614
142	602	3609
143	605	3598
144	610	3600
145	613	3590
146	618	3588
147	621	3576
148	625	3571
149	629	3566
150	633	3561
151	637	3559
152	644	3565
153	647	3558
154	651	3552
155	654	3539
156	658	3533
157	662	3531
158	664	3512
159	668	3508
160	674	3513
161	678	3508
162	683	3507
163	687	3502
164	691	3497
165	695	3496
166	700	3494
167	705	3492
168	707	3479
169	712	3478
170	717	3477
171	722	3478
172	727	3476
173	732	3479
174	739	3485
175	744	3484
176	747	3475
177	753	3479
178	756	3471
179	760	3466
180	764	3460
181	769	3458
182	773	3451
183	778	3451
184	782	3448
185	787	3445
186	789	3433
187	794	3432
188	799	3430
189	804	3428
190	809	3429
191	812	3420
192	817	3416
193	821	3412
194	824	3404
195	829	3400
196	833	3395
197	837	3392
198	842	3393
199	846	3386
200	851	3383
201	855	3378
202	858	3371
203	862	3363
204	866	3358
205	870	3356
206	874	3349
207	878	3344
208	882	3339
209	887	3340
210	894	3345
211	899	3344
212	903	3338
213	908	3337
214	912	3332
215	915	3324
216	919	3319
217	924	3314
218	929	3313
219	933	3310
220	938	3308
221	942	3302
222	945	3295
223	949	3287
224	954	3286
225	958	3281
226	961	3272
227	964	3266
228	968	3261
229	973	3258
230	977	3253
231	980	3246
232	985	3242
233	988	3237
234	993	3233
235	997	3227
236	1000	3222
237	1004	3215
238	1007	3208
239	1012	3207
240	1017	3204
241	1022	3202
242	1027	3200
243	1034	3203
244	1039	3204
245	1044	3200
246	1049	3199
247	1055	3199
248	1058	3191
249	1061	3184
250	1066	3181
251	1069	3175
252	1074	3173
253	1079	3169
254	1084	3167
255	1089	3164
256	1092	3158
257	1098	3158
258	1103	3155
259	1106	3150
260	1111	3146
261	1116	3144
262	1121	3143
263	1125	3137
264	1130	3136
265	1135	3132
266	1139	3129
267	1143	3124
268	1149	3123
269	1153	3118
270	1156	3111
271	1161	3108
272	1165	3104
273	1171	3103
274	1175	3099
275	1181	3100
276	1186	3096
277	1190	3092
278	1196	3091
279	1201	3089
280	1205	3085
281	1210	3081
282	1215	3078
283	1219	3073
284	1224	3070
285	1231	3074
286	1236	3070
287	1240	3067
288	1245	3063
289	1249	3058
290	1252	3051
291	1256	3045
292	1259	3039
293	1263	3033
294	1267	3028
295	1271	3025
296	1276	3021
297	1281	3018
298	1284	3012
299	1289	3008
300	1294	3005
301	1298	3001
302	1302	2996
303	1305	2989
304	1309	2985
305	1314	2981
306	1317	2974
307	1321	2968
308	1325	2963
309	1329	2959
310	1334	2956
311	1339	2952
312	1344	2951
313	1349	2947
314	1353	2942
315	1356	2935
316	1360	2930
317	1364	2925
318	1369	2922
319	1373	2918
320	1376	2912
321	1380	2907
322	1384	2902
323	1388	2897
324	1392	2892
325	1396	2886
326	1399	2879
327	1402	2873
328	1405	2867
329	1409	2861
330	1414	2859
331	1419	2855
332	1424	2853
333	1427	2847
334	1431	2841
335	1435	2837
336	1440	2834
337	1445	2831
338	1449	2826
339	1454	2822
340	1458	2818
341	1475	2839
342	1487	2848
343	1495	2851
344	1503	2853
345	1510	2855
346	1516	2853
347	1523	2854
348	1529	2853
349	1535	2851
350	1540	2849
351	1546	2847
352	1551	2842
353	1554	2836
354	1557	2830
355	1562	2827
356	1567	2822
357	1571	2817
358	1575	2812
359	1580	2808
360	1585	2805
361	1589	2801
362	1622	2846
363	1627	2843
364	1631	2838
365	1635	2833
366	1640	2828
367	1644	2824
368	1649	2820
369	1653	2815
370	1657	2810
371	1662	2807
372	1666	2801
