iter	RMSE
0	44.77485262
1	43.94382218
2	43.17943666
3	42.48111884
4	41.80692937
5	41.2140557
6	40.61403315
7	40.07643231
8	39.60432466
9	39.1918094
10	38.80782344
11	38.43110114
12	38.06976915
13	37.77555746
14	37.51525203
15	37.22829639
16	37.00393234
17	36.80834758
18	36.59309452
19	36.42817649
20	36.25841419
21	36.08468897
22	35.92823764
23	35.79217011
24	35.66885186
25	35.57887854
26	35.4643111
27	35.35892055
28	35.25337625
29	35.16085243
30	35.07741249
31	35.01040743
32	34.96460592
33	34.89195252
34	34.83023585
35	34.77185186
36	34.71509514
37	34.65497765
38	34.6090662
39	34.58618821
40	34.5596118
41	34.52202007
42	34.4833402
43	34.43733877
44	34.41827924
45	34.36288861
46	34.32142609
47	34.29729481
48	34.27484985
49	34.2525281
50	34.21880082
51	34.18595478
52	34.16415081
53	34.13716021
54	34.112301
55	34.09086745
56	34.0799115
57	34.06395406
58	34.0504371
59	34.02945948
60	34.01613272
61	33.99988412
62	33.98597381
63	33.98213633
64	33.96715468
65	33.94613065
66	33.92945746
67	33.91672525
68	33.90281164
69	33.87574093
70	33.85729936
71	33.8392993
72	33.82365542
73	33.81213704
74	33.7990392
75	33.77682135
76	33.76704036
77	33.75197017
78	33.73975669
79	33.71400684
80	33.70864795
81	33.6930628
82	33.68887864
83	33.68825816
84	33.67885642
85	33.67178045
86	33.65888696
87	33.6489347
88	33.63182126
89	33.61996208
90	33.61977854
91	33.60812682
92	33.60751721
93	33.58539391
94	33.56767575
95	33.5521336
96	33.53317799
97	33.52117106
98	33.50743835
99	33.50327117
100	33.49426991
101	33.46324903
102	33.46250507
103	33.45489003
104	33.4503047
105	33.43732786
106	33.43467036
107	33.43462469
108	33.42333322
109	33.41435848
110	33.41092123
111	33.40068076
112	33.39516246
113	33.38704645
114	33.37421247
115	33.35173692
116	33.34213903
117	33.342015
118	33.34089264
119	33.32363295
120	33.30859877
121	33.29971711
122	33.29267098
123	33.28347193
124	33.27765442
125	33.26761396
126	33.24881998
127	33.24124619
128	33.23396876
129	33.23356758
130	33.23079282
131	33.22667456
132	33.22501003
133	33.22031775
134	33.21031711
135	33.18949944
136	33.1835911
137	33.1630291
138	33.14596475
139	33.13995469
140	33.133216
141	33.13296408
142	33.13293401
143	33.12677179
144	33.1175291
145	33.10116943
146	33.09302174
147	33.09223628
148	33.08418712
149	33.08087391
150	33.05377645
151	33.04540371
152	33.02724321
153	33.02365271
154	33.0186237
155	33.01838103
156	33.01351138
157	32.98764924
158	32.9876476
159	32.97172111
160	32.96059429
161	32.96056434
162	32.94697301
163	32.93566763
164	32.90407967
165	32.89912747
166	32.89054974
167	32.88217428
168	32.88212756
169	32.88108917
170	32.880362
171	32.87233677
172	32.86185883
173	32.85131534
174	32.84917623
175	32.83790023
176	32.82893617
177	32.82172082
178	32.81094271
179	32.81005087
180	32.80771653
181	32.80360585
182	32.79819513
183	32.79784523
184	32.79388538
185	32.79017582
186	32.78992635
187	32.78413232
188	32.78171711
189	32.76881044
190	32.76361268
191	32.75320786
192	32.75297024
193	32.75060902
194	32.74719963
195	32.74083578
196	32.73288415
197	32.72633649
198	32.71709478
199	32.71593698
200	32.71078696
201	32.70921726
202	32.7070534
203	32.70169139
204	32.68623938
205	32.67813658
